2,Era,#:,Song Title,Credited Artist(s):,Producer(s):,Engineer(s):,Additional Information:,File Name(s) | Metadata:,Instrumental Name(s):,Recording Location(s):,Record Date(s):,Preview Date:,Date(s):,Duration,Category:,Available Files:
1263,OUT,166,Oxycodone (v1) OxyContin Song was originally called 'Numb My Soul'.,Juice WRLD,Purps On The Beat,Max Lord,-,File Name (1): bdayspitta 2 purps v1.0 numb my soul File Name (2): Juice Wrld - numb my soul v1.0 (bdayspitta 2 purps) Session Title: bdayspitta 2 purps v1.0 numb my soul.ptx,bdayspitta 2,"Rented Private Estate Recording Studio , Bermuda Dunes , CA .","Recorded April 17-18, 2019. File Exported November 22, 2022.",-,"Surfaced January 24, 2026.",2:40,Original Demo Track ( Complete ),Original File 2117kbps (.wav)
1264,OUT,167,Pain* Possessed,Juice WRLD,Rex Kudo & Wheezy,Max Lord,-,,,"Home Recording Studio , Encino Hills , Los Angeles , CA .","Recorded October 8, 2019.","First Previewed February 10, 2024.","Surfaced April 16, 2024.",2:29,Throwaway Track ( Complete ),320kbps (.mp3)
1265,OUT,168,Paranoid* (with G Herbo) New Shit | Swiped My Rim,Juice WRLD & G Herbo,"Bobby Raps, DY Krazy & Morgan O'Connor",Max Lord,Shares a very similar instrumental with Gunna & Young Thug's 'Recess'.,,,"St. Martin's Lane Hotel Recording Studio, Covent Garden, London, England.","Recorded March 11, 2019.","First Previewed March 11, 2019.","Surfaced May 9, 2025.",2:23,Throwaway Track ( Complete ),320kbps (.mp3)
1266,OUT,169,Part Of (with G Herbo) Girdle Song is titled after the instrumental.,Juice WRLD & G Herbo,Purps On The Beat & Unknown,Max Lord,-,Juice Wrld - partof herbo,partof 140,"St. Martin's Lane Hotel Recording Studio, Covent Garden, London, England.","Recorded March 9-10, 2019. File Exported December 27, 2023.","First Previewed March 19, 2025.","Surfaced February 5, 2026.",2:17,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3) 262kbps (.m4a)
1267,OUT,170,Party By Myself (v1.5) Pills And The Reefer | To My Brain Song was originally called 'Party By Myself (Heroin Music)'.,Juice WRLD,"Charlie Handsome, Joe Reeves & Rex Kudo",Max Lord,-,Juice Wrld - party by myself (heroin music)v1.5,Instrumental: CHRJ LovelyTHIEVES v2 116 Beat Pack: rex august 2019,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August [ ? ], 2019. File Exported September 19, 2019.","First Teased September 19, 2019.","Surfaced October 25, 2021.",3:18,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1268,OUT,171,Party In My Mind (v1.2) Until I Die,Juice WRLD,Rex Kudo & T-Minus,Max Lord,-,Juice Wrld - party in my mind v1.2 (TMINUS rex164),TMINUS rex164,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 17-18, 2019.",-,"Surfaced April 29, 2022.",4:43,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1269,OUT,172,Party In My Mind (v1.3) Until I Die,Juice WRLD,Rex Kudo & T-Minus,Max Lord,-,Juice Wrld - party in my mind v1.3(TMINUS rex164),TMINUS rex164,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 17-18, 2019.","First Previewed September 22, 2019. First Teased October 17, 2019.","Surfaced July 25, 2022.",2:36,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1270,OUT,173,Pretty Much* Dr. Phil | For Real,Juice WRLD,DY Krazy,Max Lord,-,,DYLONDONVIBE9,-,"Recorded July [ ? ], 2019.","First Previewed January 31, 2024.","Surfaced January 15, 2026.",2:07,Throwaway Track ( Complete ),320kbps (.mp3)
1271,OUT,174,Priceless Wraith,Juice WRLD,CHASETHEMONEY,Max Lord,-,juice wrld priceless chasethemoney v1.0 (245),245 BPM 86,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 23, 2019. File Exported January 26, 2020.",-,"Surfaced March 13, 2022.",3:08,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1272,OUT,175,PTSD (feat. Juice WRLD & Chance The Rapper) [ v9 ],G Herbo,D.A. Got That Dope,"DexLvL, Jaycen Joshua & Unknown",-,PTSD - Main Mix V8 JJ-Sped Up 3bpm,,"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Herbo's Vocals September 1, 2019. Juice's Vocals September [ ? ], 2019.",-,"Surfaced October 10, 2023.",3:53,Alternate Feature Demo Track ( Complete ),Original File 320kbps (.mp3)
1273,OUT,176,PTSD (feat. Juice WRLD),G Herbo,D.A. Got That Dope,DexLvL & Unknown,-,,,"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Herbo's Vocals September 1, 2019. Juice's Vocals September [ ? ], 2019.",-,"Surfaced January 24, 2024.",3:59,Throwaway Track ( Complete ),256kbps (.mp3)
1274,OUT,177,Rain Dance ( v1 ),Juice WRLD,CHASETHEMONEY,Max Lord,-,,,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 23, 2019.",-,"Surfaced April 3, 2021.",1:31,Original Demo Track ( Complete ),320kbps (.mp3)
1275,OUT,178,Range (with G Herbo),Juice WRLD & G Herbo,DJ Victoriouz,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - Range v1.0 (010200019 vic),Instrumental: 010200019 Loop: 04 wolves 140 BPM,"St. Martin's Lane Hotel Recording Studio, Covent Garden, London, England.","Recorded March 9-11, 2019.",-,"Surfaced November 13, 2020.",3:12,Throwaway Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1276,OUT,179,Ransom (Remix) [feat. Juice WRLD] {v2.2} Ran$om,Lil Tecca,Nick Mira & Taz Taylor,Joseph Colmenero & Max Lord,Song originally began as a solo Lil Tecca track.,Ransom ft JUICE WRLD v1.2,Instrumental: NM - Bussin 160BPM Open Verse File: Lil Tecca - Ransom JUICE VERSE OPEN 90bpm MIDI: NM - Bits,"Tecca's Vocals Internet Money Home Recording Studio, Hollywood, Los Angeles, CA. Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Tecca's Vocals January 4, 2019. Juice's Vocals August 1, 2019. Acapella File Exported August 2, 2019.",-,"Surfaced August 11, 2019. Session Surfaced February 2, 2024.",2:50,Alternate Feature Demo & Remix Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1277,OUT,180,Reason (v1.1),Juice WRLD,Max Lord & PVLACE,Max Lord,"Song is unfinished, contains an open verse. Shares the same loop as Don Toliver's 'Give It Up*'.",Juice Wrld - reason v1.1 (margate176),Instrumental: margate 176 Loop: 16.rivera146bpm_pvlace,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 13-14, 2019. File Exported September 15, 2019.","First Previewed September 13-14, 2019.","Surfaced March 19, 2023.",4:03,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1278,OUT,181,Record Straight,Juice WRLD,Roy Lenzo & Take A Daytrip,Max Lord,-,Juice - record straight v1.0 (iced lemonade),Take A Daytrip x Roy Lenzo - Iced Lemonade [inst demo 1],"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 15, 2019. File Exported July 16, 2019.","First Previewed August 29, 2019.","Surfaced January 24, 2026.",2:47,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1279,OUT,182,Regardless* (with G Herbo) Freestyle ( Interlude ) Song is untitled.,Juice WRLD & G Herbo,CHASETHEMONEY,Max Lord,Song's file name is titled after the session template's last exported file.,Juice Wrld - substance v1.1 (blvd3),,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded September 8, 2019. File Exported October 2, 2019.","First Previewed September 8, 2019.","Surfaced November 13, 2020.",4:56,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1280,OUT,183,Relocate (v1.1) Californication,Juice WRLD,London On Da Track & Rex Kudo,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - relocate v1.1 (145 GTR LR rex),145 GT LR,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 2-3, 2019. File Exported January 26, 2020.","First Previewed April 29, 2022.","Surfaced April 30, 2022.",2:33,Alternate Demo Track ( Open Verse ),Original File 2117kbps (.wav)
1281,OUT,184,Relocate (v1) No Russian,Juice WRLD,Nick Mira,Max Lord,-,Juice Wrld - relocate v1.0 (NM fable),Instrumental: NM - Fable 166BPM Beat Pack: Nick Mira - Juice WRLD 8.4,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 4, 2019.",-,"Surfaced January 19, 2021.",3:28,Original Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1282,OUT,185,Reminds Me Of You Reminds Me ( Remix ),Juice WRLD,"Aaron Joseph, Dr. Luke, Sam Sumser, Sean Small & Theron Thomas",Dr. Luke,Remixes Kim Petra's 'Reminds Me'.,,,"Dr. Luke's Private Recording Studio, West Hollywood, Los Angeles, CA.","Recorded May 3, 2019.","First Previewed May 3, 2019.","Surfaced September 28, 2021.",1:42,Original Solo Demo Track ( Complete ),320kbps (.mp3)
1283,OUT,186,Rich Nigga Shit (with Young Thug) [v1],Juice WRLD & Young Thug,Pi'erre Bourne & Ye West,Bainz,-,THUG x JUICEWRLD - RICH NIGGA SHIT (BAINZRUFF),,"Crosby Recording Studio, Burbank, Los Angeles, CA.","Recorded April 10, 2019.",-,"Surfaced October 17, 2022.",2:57,Original Demo Track ( Complete ),Original File 320kbps (.mp3)
1284,OUT,187,Rifle (v1.1) Get Away,Juice WRLD,Pi'erre Bourne,Max Lord,"Song is unfinished, hook only.",Juice Wrld - rifle v1.1 hook only,,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 4-5, 2019. File Exported May 4, 2024.","First Previewed March 19, 2025.","Surfaced February 5, 2026.",2:58,Alternate Demo Track ( Hook Only ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1285,OUT,188,Righteous (v1),Juice WRLD,Charlie Handsome & Nick Mira,Max Lord,-,Juice Wrld - righteous v1.0 (NM CT Lorraine),Instrumental: NM x CH - Loraine 143BPM Loop: ECO LORRAINE 137.73 Beat Pack: Nick Mira - Juice WRLD 3.18,"Mondrian Park Avenue Hotel Recording Studio, Midtown Manhattan, New York City, NY.","Recorded May 22, 2019.","First Previewed May 25, 2019. First Teased June 29, 2018.","Surfaced January 9, 2020.",3:48,Original Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1286,OUT,189,Rikers (v1.1),Juice WRLD,Gezin & Prevade,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - rikers v1.1 (euros 14),euros 14 x prevade,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 9, 2019.","First Teased November 26, 2019.","Surfaced August 23, 2020.",2:31,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1287,OUT,190,RNG ( v1.4 ) Ace Of Spades | All Your Sins Song is titled after the instrumental.,Juice WRLD,DJ Scheme & Henry Daher,Max Lord,-,Juice Wrld - RNG 2 from scheme v1. 4,RNG,-,-,"First Previewed October 2, 2023.","Surfaced December 2, 2023.",2:32,Alternate Demo Track ( Complete ),320kbps (.mp3)
1288,OUT,191,Rob And Scam*,Juice WRLD,DJ Scheme & Nuri,Max Lord,-,,scheme nuri 85bpm AM,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 29, 2019.","First Previewed September 1, 2019.","Surfaced January 25, 2026.",2:43,Throwaway Track ( Complete ),320kbps (.mp3)
1289,OUT,192,Same To Me Gone,Juice WRLD,Nick Mira & Ray Russell,Max Lord,"Song is unfinished, hook only.",Juice Wrld - same to me v1.0 (NM doe),Instrumental: NM - Doe 137BPM Loop: 130_Balladeer_V3_Cs_290_SP01 Loop Kit: Samplephonics - Ray Russell Guitar Sessions Beat Pack: Nick Mira - Juice WRLD 4.27,"Thompson Seattle Hotel Recording Studio, Pike Place Market, Seattle, WA.","Recorded April 29, 2019.","First Previewed November 23, 2021.","Surfaced September 26, 2022.",5:01,Throwaway Track ( Hook Only ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1290,OUT,193,Save Us* Famous,Juice WRLD,FRANKIEONTHEGUITAR & Gezin,Max Lord,"Song is unfinished, hook only.",,Instrum ental: euros ... Loop: Master Section - 150_Fmin,"Park Hyatt Hotel Recording Studio , Shinjuku , Tokyo , Japan .","Recorded November 26, 2019.","First Previewed January 31, 2024.","Surfaced January 25, 2026.",2:59,Throwaway Track ( Hook Only ),320kbps (.mp3)
1291,OUT,194,Saved By The Bell*,Juice WRLD,ATL Jacob & French Konnect,Max Lord,-,,,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 23-24, 2019.","First Previewed July 23-24, 2019.","Surfaced September 27, 2023.",2:20,Throwaway Track ( Complete ),320kbps (.mp3)
1292,OUT,195,Scarface (with Gunna),Juice WRLD & Gunna,"ATL Jacob, Rex Kudo & Southside",Shaan Singh,Shares the same instrumental as 'Cold Summer'.,SCARFACE - JWRLD x GUNNA - SHAANRUFF,REX15ATLJACOB,"[ ? ], [ ? ], London, England.","Recorded July 6-7, 2019.","First Previewed July 6-7, 2019.","Surfaced November 23, 2020.",2:59,Throwaway Track ( Complete ),Original File 320kbps (.mp3)
1293,OUT,196,Screamin'*,Juice WRLD,ATL Jacob & French Konnect,Max Lord,-,,,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded July 23-24, 2019.","First Previewed October 31, 2023.","Surfaced August 3, 2024.",1:51,Throwaway Track ( Complete ),320kbps (.mp3)
1294,OUT,197,Screw Juice (v1.2),Juice WRLD,Nick Mira,Max Lord,-,Juice Wrld - screw juice v1.2 (NM infinity),Instrumental: NM - Infinity 150BPM Loop: nick mira_gtr17_150 Loop Kit: Nick Mira - Gasolina 4 [V1] Beat Pack: Nick Mira - Juice WRLD 3.18,"Mondrian Park Avenue Hotel Recording Studio, Midtown Manhattan, New York City, NY.","Recorded May 21-22, 2019. File Exported July 8, 2020.",-,"Surfaced July 8, 2023.",2:59,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1295,OUT,198,Send Away Cookie Crisp,Juice WRLD,Styn,Max Lord,Samples Slum Village's 'Climax'.,Juice Wrld - send away v1.0 (climax shit styn),climax shit styn,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 3, 2019.","First Previewed September 2, 2019.","Surfaced August 22, 2024.",3:04,Throwaway Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1296,OUT,199,Shot 'Em Down (v1.1),Juice WRLD,DY Krazy & Rex Kudo,Max Lord,-,Juice Wrld - shot em down v1.1 (DYBH28REX),DYBH28REX,"Thompson Seattle Hotel Recording Studio, Pike Place Market, Seattle, WA.","Recorded April 20-29, 2019.","First Previewed June 14, 2022.","Surfaced June 19, 2022.",2:55,Alternate Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1297,OUT,200,Sick (v1.1) Drugs Are My Friends,Juice WRLD,Hit-Boy,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - sick v1.1 (chalice 2018 522),chalice 2018-522,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded June 28, 2019. File Exported August 7, 2019.","First Previewed June 28, 2019.","Surfaced October 6, 2020.",3:39,Alternate Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1298,OUT,201,Simp' Living At The Top | Simple,Juice WRLD,ForeignGot'Em & JJ Stevens,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - simp v1.0 (jj x foreign),jj x foreign,"The Cutting Room Recording Studio, NoHo, New York City, NY.","Recorded October 13, 2019.","First Previewed October 13, 2019.","Surfaced August 30, 2020.",3:54,Throwaway Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1299,OUT,202,Slam Poet Juice Out The Dust,Juice WRLD,Nick Mira,Max Lord,"Song is unfinished, contains an open verse.",Juice Wrld - slam poet juice v1.0 (NM hendrix),Instrumental: NM - Hendrix 140BPM Beat Pack: Nick Mira - Juice WRLD 4.27,"Mondrian Park Avenue Hotel Recording Studio, Midtown Manhattan, New York City, NY.","Recorded May 21-22, 2019.","First Previewed May 30, 2019.","Surfaced March 1, 2022.",4:31,Original Solo Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1300,OUT,203,Soda Pop (feat. Roddy Ricch) Apparent,Juice WRLD,Marshmello,Max Lord & Unknown,Song originally began as a solo Juice WRLD & Marshmello track.,Marshmello x Juicewrld x Roddy,mello juice 5,"Juice's Vocals Rented Home Recording Studio, West Hollywood, Los Angeles, CA.","Juice's Vocals December 19, 2018.",-,"Surfaced October 27, 2021.",3:07,Feature Track ( Complete ),Original File 320kbps (.mp3)
1301,OUT,204,"Speed Me Up (feat. Cordae, Oliver Tree & Wiz Khalifa) [v1] Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord & Unknown,Song originally began as a solo Juice WRLD track.,Speed Me Up Cordae 11.13.19 44.1,Take A Daytrip - Sonic Fries [inst demo 2],"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Juice's Vocals November 8, 2019. File Exported November 13, 2019.",-,"Surfaced October 3, 2025.",4:16,Original Feature Demo Track ( Complete ),Original File 160kbps (.mp3)
1302,OUT,205,"Speed Me Up (feat. Cordae, Oliver Tree & Wiz Khalifa) [v2] Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord & Unknown,Song originally began as a solo Juice WRLD track.,Speed Me Up Cordae 11.13.19 v2 44.1,Take A Daytrip - Sonic Fries [inst demo 2],"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Juice's Vocals November 8, 2019. File Exported November 13, 2019.",-,"Surfaced October 15, 2025.",4:14,Alternate Feature Demo Track ( Complete ),Original File 160kbps (.mp3)
1303,OUT,206,"Speed Me Up (feat. Lil Yachty & Wiz Khalifa) Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord & Unknown,Song originally began as a solo Juice WRLD track.,,Take A Daytrip - Sonic Fries [inst demo 2],"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Juice's Vocals November 8, 2019.",-,"Surfaced April 30, 2021.",4:13,Feature Track ( Complete ),320kbps (.mp3)
1304,OUT,207,"Speed Me Up (feat. Wiz Khalifa) [ v4 ] Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord & Unknown,Song originally began as a solo Juice WRLD track.,Speed Me Up - Swivel 4,Instrumental: Take A Daytrip - Sonic Fries [inst demo 2] Open Verse File: Speed Me Up Open verse,"Juice's Vocals Home Recording Studio, Encino Hills, Los Angeles, CA.","Juice's Vocals November 8, 2019.",-,"Surfaced September 6, 2025.",3:23,Alternate Feature Demo Track ( Complete ),Original File 320kbps (.mp3)
1305,OUT,208,"Speed Me Up (v1.3) Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord,-,sonic fries JUICE WRLD v1.3,Take A Daytrip - Sonic Fries [inst demo 2],"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded November 8, 2019.",-,"Surfaced August 12, 2023.",3:09,Alternate Solo Demo Track ( Open Verse ),Original Files 2117kbps (.wav) 320kbps (.mp3)
1306,OUT,209,"Speed Me Up (v2) Keep Up Song was originally titled 'Sonic Fries', after the instrumental.",Juice WRLD,Take A Daytrip,Max Lord,-,sonic fries JUICE WRLD v2.0 ruff,Instrumental: Take A Daytrip - Sonic Fries [inst demo 2] Open Verse File: sonic fries JUICE WRLD v1.3,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Verse Beginning November 8, 2019. Additional Verse Vocals November 12, 2019.",-,"Surfaced August 5, 2020.",3:09,Alternate Solo Demo Track ( Open Verse ),Original Files 2304kbps (.wav) 320kbps (.mp3)
1307,OUT,210,Stick*,Juice WRLD,DJ L Beats,Max Lord,-,,,-,-,"First Previewed March 19, 2025.","Surfaced July 11, 2025.",1:54,Throwaway Track ( Complete ),320kbps (.mp3)
1308,OUT,211,Strong Minds Go Berserk | Split Heads Song is untitled.,Juice WRLD,Turbo & Wheezy,Bainz,-,File Name: JUICE WHEEZY Session Title: juice 4.ptx,STRONG MINDS,"Crosby Recording Studio, Burbank, Los Angeles, CA.","Recorded April 10, 2019.","First Previewed October 13, 2019.","Surfaced March 7, 2024. Session Surfaced February 5, 2026.",1:44,Throwaway Track ( Complete ),Studio Session & Original File 320kbps (.mp3)
1309,OUT,212,Substance (v1.1) Double Up | Purple Substance,Juice WRLD,Charlie Handsome & Rex Kudo,Max Lord,-,Juice Wrld - substance v1.1 (blvd3),blvd3 135,"Home Recording Studio, Encino Hills, Los Angeles, CA.","Recorded August 11, 2019.","First Previewed October 12, 2019.","Surfaced August 30, 2020.",3:19,Alternate Solo Demo Track ( Complete ),Original Files 2117kbps (.wav) 320kbps (.mp3)
